entity,text_id,url
Clarese Partis,text39,https://gazzettadelsud.it/articoli/societa/2023/09/02/in-smart-working-a-ollolai-in-sardegna-richieste-da-tutto-il-mondo-f6158884-051a-4624-a64c-2a41776dc993/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_nazionale
Clarese Partis,text63,https://www.wallstreetitalia.com/ollolai-capitale-smart-working/
Clarese Partis,text70,https://www.tgcom24.mediaset.it/cronaca/ollolai-nuoro-prima-nomade-digitale_69330951-202302k.shtml
Clarese Partis,text40,https://www.ansa.it/sardegna/notizie/2023/09/01/in-smart-working-a-ollolai-richieste-da-tutto-il-mondo_aace74c2-aea8-4e33-a15f-bedcda4a69d4.html
Clarese Partis,text71,https://www.ilsole24ore.com/art/smart-working-barbagia-ollolai-oltre-mille-richieste-nomadi-digitali-tutto-mondo-AF2vGWi
Clarese Partis,text3,https://www.unionesarda.it/news-sardegna/nuoro-provincia/work-from-ollolai-in-barbargia-sbarca-la-prima-nomade-digitale-americana-kgtbwx7i
Clarese Partis,text69,https://www.ilgazzettino.it/economia/news/lavoro_smart_working_sardegna_di_cosa_si_tratta_ollolai_barbagia_nomade_digitale-7606018.html
Nomadismo digitale,text32,https://www.unionesarda.it/3-minuti-con/i-nomadi-digitali-amano-il-mare-i-borghi-e-la-cultura-ri5p9ikf
Nomadismo digitale,text25,https://www.lasicilia.it/viaggiturismo/cresce-la-tribu-dei-nomadi-digitali-e-3-su-4-scelgono-il-sud-italia-1219435/
Nomadismo digitale,text103,https://www.ansa.it/sito/notizie/cronaca/2022/04/29/professionista-e-in-cerca-esperienze-ecco-nomade-digitale-2.0_297e8325-477f-4989-8f9d-deb7c51b34d3.html
Nomadismo digitale,text50,https://www.legginotizie.com/nomadismo-digitale-opportunita-vincoli-criticita-e-proposte-di-una-tendenza/
Nomadismo digitale,text91,https://www.ansa.it/sito/notizie/economia/2022/04/08/turismo-cresce-tribu-nomadi-digitali-3-su-4-scelgono-il-sud_64da9400-4c5f-4c19-bf8a-633b48c21156.html
Nomadismo digitale,text123,https://www.wallstreetitalia.com/740396-2/
Nomadismo digitale,text51,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2024/02/28/nomadi-digitali-fuori-dagli-stereotipi-tutto-sul-fenomeno-che-cambia_034dc501-5197-4848-bbd7-d236cf12c8c1.html
Nomadismo digitale,text1,https://www.tgcom24.mediaset.it/speciale/dr-podcast/-si-fa-presto-a-dire-nomadi-digitali--manager-itineranti_74457470-202302k.shtml
Unione Europea,text150,https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Unione Europea,text135,https://www.ilmessaggero.it/rilanciare_il_centro_italia/tasse_ridotte_per_chi_si_trasferisce_nei_comuni_terremotati_come_funziona-6568056.html
Unione Europea,text27,https://www.adnkronos.com/lavoro/dati/dalle-trasferte-al-remote-working-internazionale-labc-del-nomadismo-digitale_4UUDBWhiFY9PlS11umxbTI
Unione Europea,text117,https://askanews.it/2023/11/28/fedriga-a-londra-fvg-offre-opportunita-uniche-in-europa/
Unione Europea,text57,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2023/09/26/nomadi-digitali-ormai-una-comunita-di-35-milioni-nel-mondo_df41cdfc-8fd8-4a9f-80e1-ef9ef07cf0ff.html
Unione Europea,text123,https://www.wallstreetitalia.com/740396-2/
Unione Europea,text147,https://www.adnkronos.com/nomadi-digitali-consigli-pratici-per-guadagnare-con-linsegnamento-online-senza-smettere-di-viaggiare_6oAhgZXgKa2Wlu5AB4OFp6
Unione Europea,text116,https://www.italpress.com/fedriga-friuli-offre-opportunita-uniche-in-europa/
Ue,text9,https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Ue,text53,https://www.ilsole24ore.com/art/nomadi-digitali-ecco-regole-ottenere-visto-e-fare-smart-working-italia-AFjVHYuC
Ue,text2,https://www.ilsole24ore.com/art/nomadi-digitali-come-funziona-nuova-legge-trasferirsi-italia-AERHQPSB
Ue,text55,https://www.ilsole24ore.com/art/nomadi-digitali-manca-quadro-normativo-riferimento-AEMGNJuB
Ue,text75,https://www.lasicilia.it/ultimi-aggiornamenti/smart-working-quickfisco-le-5-cose-da-sapere-per-lavorare-da-ovunque-senza-problemi-1946516/
Ue,text68,https://calabria.gazzettadelsud.it/articoli/economia/2023/05/19/1701810-a1375295-9abf-4032-85c0-a4b6c5ff47b7/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_calabria
Nissan,text144,https://motori.ilmessaggero.it/news/office_pod_concept_nissan_smart_working_auto_caravan_come_funziona_ultime_notizie_oggi_8_febbraio_2021-5753503.html
Nomadi Digitale,text25,https://www.lasicilia.it/viaggiturismo/cresce-la-tribu-dei-nomadi-digitali-e-3-su-4-scelgono-il-sud-italia-1219435/
Nomadi Digitale,text93,https://www.repubblica.it/economia/diritti-e-consumi/lavoro/2024/04/21/news/visto_nomadi_digitali_lavorare_in_remoto_regole-422666424/?rss
Nomadi Digitale,text60,https://www.ansa.it/abruzzo/notizie/2024/05/10/nomadi-digitali-1205-nuove-residenzialita-a-fano-adriano_446ba2de-674c-4937-94eb-a89b9154b893.html
Nomadi Digitale,text51,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2024/02/28/nomadi-digitali-fuori-dagli-stereotipi-tutto-sul-fenomeno-che-cambia_034dc501-5197-4848-bbd7-d236cf12c8c1.html
Nomadi Digitale,text1,https://www.tgcom24.mediaset.it/speciale/dr-podcast/-si-fa-presto-a-dire-nomadi-digitali--manager-itineranti_74457470-202302k.shtml
Nomadi Digitale,text148,http://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2021/05/02/nomadismo-digitale-nuovo-stile-di-vita.-fuori-dagli-stereotipi-cosa-significa_4f416bf4-bafd-4ce3-84d1-b67fa92f7db7.html
nomadi,text2,https://www.ilsole24ore.com/art/nomadi-digitali-come-funziona-nuova-legge-trasferirsi-italia-AERHQPSB
nomadi,text56,https://www.affaritaliani.it/economia/nomadi-digitali-nuovo-accordo-europeo-regola-il-telelavoro-in-paesi-diversi-878995.html?ref=rss
nomadi,text79,https://www.repubblica.it/economia/2021/04/05/news/turismo_sara_un_estate_holidayworking_parola_di_italianway_la_formula_italiana_degli_affitti_brevi-295065613/?rss
Nomadi,text21,https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Nomadi,text53,https://www.ilsole24ore.com/art/nomadi-digitali-ecco-regole-ottenere-visto-e-fare-smart-working-italia-AFjVHYuC
Nomadi,text62,https://www.corriere.it/sette/attualita/22_settembre_20/nuovi-nomadi-cloud-lavoro-distanza-ci-siamo-rimessi-viaggio-9ce0aa9c-327e-11ed-aa4e-c1e08594c6e6.shtml
Nomadi,text56,https://www.affaritaliani.it/economia/nomadi-digitali-nuovo-accordo-europeo-regola-il-telelavoro-in-paesi-diversi-878995.html?ref=rss
Nomadi,text6,https://www.tgcom24.mediaset.it/cronaca/agrigento-soggiorno-di-12-mesi-a-un-euro-boom-di-richieste-da-tutto-il-mondo_47877146-202202k.shtml
Nomadi,text51,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2024/02/28/nomadi-digitali-fuori-dagli-stereotipi-tutto-sul-fenomeno-che-cambia_034dc501-5197-4848-bbd7-d236cf12c8c1.html
Cisco,text43,https://www.agi.it/lifestyle/news/2022-03-01/remote-working-venezia-smart-working-progetto-venywhere-15801713/
Cisco,text21,https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Cisco,text82,https://www.adnkronos.com/Archivio/lavoro/venywhere-progetto-di-fondazione-di-venezia-e-universita-ca-foscari-per-un-nuovo-modo-lavorare-e-vivere_6YK4ZFrDaEL4c5RSTPXMyE
Cisco,text61,https://www.adnkronos.com/immediapress/ict/nomadismo-digitale-unopportunita-per-cercare-talenti-anche-fuori-i-confini-aziendali_6MLry47Lr7ksw88XKCUKLq
Cisco,text81,https://www.ilfoglio.it/societa/2022/06/09/gallery/venezia-49-999-fra-le-rotte-anti-spopolamento-una-sola-e-veramente-nuova-4088802/
parlamento,text41,https://www.lagazzettadelmezzogiorno.it/news/matera/1348013/irsina-accoglie-i-nomadi-digitali-il-telelavoro-per-ripopolare-i-borghi.html
parlamento,text25,https://www.lasicilia.it/viaggiturismo/cresce-la-tribu-dei-nomadi-digitali-e-3-su-4-scelgono-il-sud-italia-1219435/
parlamento,text91,https://www.ansa.it/sito/notizie/economia/2022/04/08/turismo-cresce-tribu-nomadi-digitali-3-su-4-scelgono-il-sud_64da9400-4c5f-4c19-bf8a-633b48c21156.html
parlamento,text66,https://www.adnkronos.com/Archivio/lavoro/dati/remote-worker-e-over-35-i-nomadi-digitali-promuovono-litalia_6bMz6FQE7uXtwZCGxpWocN
IT,text127,https://www.lastampa.it/economia/2023/08/17/news/smart_working_nomadi_digitali_35_milioni-13000068/
IT,text81,https://www.ilfoglio.it/societa/2022/06/09/gallery/venezia-49-999-fra-le-rotte-anti-spopolamento-una-sola-e-veramente-nuova-4088802/
IT,text4,https://askanews.it/2023/08/18/35-milioni-di-nomadi-digitali-1-su-2-cambia-casa-una-volta-al-mese/
IT,text154,https://www.corriere.it/economia/lavoro/22_maggio_06/smart-working-l-imprenditore-che-lavora-camper-il-mio-ufficio-vista-mare-bb93482e-cc75-11ec-b523-191019bfc881.shtml
Agenzia Lavoro & SviluppoImpresa,text98,https://www.italpress.com/innovazione-rosolen-bini-fvg-sede-top-per-lavoratori-digitali/
Agenzia Lavoro & SviluppoImpresa,text139,https://www.ilfriuli.it/articolo/economia/digitalmeet-fa-tappa-a-resia/4/272821
Agenzia Lavoro & SviluppoImpresa,text8,http://www.ansa.it/nuova_europa/it/notizie/rubriche/altrenews/2022/10/03/airbnb-fvg-tra-le-20-localita-al-mondo-per-digital-nomads_dbf5ba67-0104-47d7-8520-092800c917c8.html
Agenzia Lavoro & SviluppoImpresa,text73,https://www.ilfriuli.it/articolo/economia/smart-working-i-lavoratori-digitali-scelgono-il-fvg/4/272157
Invitalia,text98,https://www.italpress.com/innovazione-rosolen-bini-fvg-sede-top-per-lavoratori-digitali/
Invitalia,text86,https://messaggeroveneto.gelocal.it/udine/cronaca/2022/10/04/news/smart_working_per_airbnb_il_fvg_meta_ideale_per_i_nomadi_digitali-10254416/
Invitalia,text8,http://www.ansa.it/nuova_europa/it/notizie/rubriche/altrenews/2022/10/03/airbnb-fvg-tra-le-20-localita-al-mondo-per-digital-nomads_dbf5ba67-0104-47d7-8520-092800c917c8.html
Invitalia,text73,https://www.ilfriuli.it/articolo/economia/smart-working-i-lavoratori-digitali-scelgono-il-fvg/4/272157
PNRR,text15,https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
PNRR,text152,https://www.ilfriuli.it/economia/visionalps-2023-tolmezzo/
associazione italiano nomade digitale,text126,https://www.repubblica.it/viaggi/2022/08/03/news/smart_working_case_vacanza-360247515/?rss
associazione italiano nomade digitale,text66,https://www.adnkronos.com/Archivio/lavoro/dati/remote-worker-e-over-35-i-nomadi-digitali-promuovono-litalia_6bMz6FQE7uXtwZCGxpWocN
associazione italiano nomade digitale,text21,https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Fonarcom,text22,https://www.ildenaro.it/cifa-italia-cafa-italia-si-candidi-a-meta-preferita-dei-nomadi-digitali/
Fonarcom,text31,https://www.adnkronos.com/fisco-cafa-cifa-italia-sistema-sia-attrattivo-per-freelance-italia-meta-per-nomadi-digitali_6DKvEu1LzFXmLigXLBhNJk
digital nomad,text147,https://www.adnkronos.com/nomadi-digitali-consigli-pratici-per-guadagnare-con-linsegnamento-online-senza-smettere-di-viaggiare_6oAhgZXgKa2Wlu5AB4OFp6
digital nomad,text115,https://www.ansa.it/sicilia/notizie/speciali/2022/06/28/famiglia-francese-soggiorna-un-anno-gratis-in-sicilia-con-airbnb_1f3e6955-39a4-402e-b960-e2d31ecee44a.html
digital nomad,text59,https://www.adnkronos.com/nomadi-digitali-chi-sono-e-come-fanno-a-permettersi-di-girare-il-mondo_5xufzYVjqVcemyEJNaifG
digital nomad,text90,https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Inps,text67,https://calabria.gazzettadelsud.it/articoli/cronaca/2024/08/08/ripopolamento-dei-borghi-calabresi-nuovi-investimenti-per-progetti-sui-comuni-montani-df68dd05-6b96-40b2-bf36-0dd31c25d5d5/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_calabria
Inps,text75,https://www.lasicilia.it/ultimi-aggiornamenti/smart-working-quickfisco-le-5-cose-da-sapere-per-lavorare-da-ovunque-senza-problemi-1946516/
Inps,text114,https://www.giornaledicalabria.it/?p=314812
Inps,text145,https://iltirreno.gelocal.it/massa/cronaca/2021/03/07/news/lotta-per-sopravvivere-tra-crollo-del-fatturato-e-contributi-da-pagare-1.39998173
Agenzia lavoro & SviluppoImpresa,text116,https://www.italpress.com/fedriga-friuli-offre-opportunita-uniche-in-europa/
Agenzia lavoro & SviluppoImpresa,text74,https://www.ilfriuli.it/articolo/economia/smart-working-i-numeri-in-fvg-/4/277588
Agenzia lavoro & SviluppoImpresa,text117,https://askanews.it/2023/11/28/fedriga-a-londra-fvg-offre-opportunita-uniche-in-europa/
NAFSA,text136,https://www.ildenaro.it/consolato-usa-di-firenze-nuovi-servizi-per-gli-studenti-fuori-sede/
NAFSA,text138,https://www.lanazione.it/firenze/cronaca/da-firenze-agli-usa-il-progetto-che-punta-a-fare-degli-studenti-stranieri-dei-cittadini-c70189f2
USA-Italia,text136,https://www.ildenaro.it/consolato-usa-di-firenze-nuovi-servizi-per-gli-studenti-fuori-sede/
USA-Italia,text138,https://www.lanazione.it/firenze/cronaca/da-firenze-agli-usa-il-progetto-che-punta-a-fare-degli-studenti-stranieri-dei-cittadini-c70189f2
Ministro,text15,https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Ministro,text10,https://www.affaritaliani.it/economia/al-via-il-progetto-per-dare-nuova-vita-a-43-borghi-tra-sicilia-e-calabria-917054.html?ref=ig
Randstad,text12,https://www.lagazzettadelmezzogiorno.it/news/matera/1368415/aliano-e-tursi-il-mondo-e-qui-il-southworking-per-ripopolare-i-borghi.html
casa a 1 Euro,text20,https://www.ilgiornaledivicenza.it/oltre-vicenza/italia/casa-a-un-euro-per-un-anno-oltre-100mila-i-candidati-per-vivere-a-sambuca-in-sicilia-1.9304974
casa a 1 Euro,text115,https://www.ansa.it/sicilia/notizie/speciali/2022/06/28/famiglia-francese-soggiorna-un-anno-gratis-in-sicilia-con-airbnb_1f3e6955-39a4-402e-b960-e2d31ecee44a.html
Istat,text150,https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Istat,text114,https://www.giornaledicalabria.it/?p=314812
Istat,text21,https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
associazione italiana nomadi Digitale,text32,https://www.unionesarda.it/3-minuti-con/i-nomadi-digitali-amano-il-mare-i-borghi-e-la-cultura-ri5p9ikf
associazione italiana nomadi Digitale,text91,https://www.ansa.it/sito/notizie/economia/2022/04/08/turismo-cresce-tribu-nomadi-digitali-3-su-4-scelgono-il-sud_64da9400-4c5f-4c19-bf8a-633b48c21156.html
associazione italiana nomadi Digitale,text36,https://www.ilfattoquotidiano.it/2022/03/18/il-nomade-digitale-entra-nel-nostro-ordinamento-ecco-le-regole-per-i-remote-worker-di-paesi-esteri/6530419/
ANSA Clarese Partis,text39,https://gazzettadelsud.it/articoli/societa/2023/09/02/in-smart-working-a-ollolai-in-sardegna-richieste-da-tutto-il-mondo-f6158884-051a-4624-a64c-2a41776dc993/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_nazionale
ANSA Clarese Partis,text40,https://www.ansa.it/sardegna/notizie/2023/09/01/in-smart-working-a-ollolai-richieste-da-tutto-il-mondo_aace74c2-aea8-4e33-a15f-bedcda4a69d4.html
ANSA Clarese Partis,text69,https://www.ilgazzettino.it/economia/news/lavoro_smart_working_sardegna_di_cosa_si_tratta_ollolai_barbagia_nomade_digitale-7606018.html
Fondazione Venezia,text43,https://www.agi.it/lifestyle/news/2022-03-01/remote-working-venezia-smart-working-progetto-venywhere-15801713/
Nomadi digitali,text57,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2023/09/26/nomadi-digitali-ormai-una-comunita-di-35-milioni-nel-mondo_df41cdfc-8fd8-4a9f-80e1-ef9ef07cf0ff.html
Nomadi digitali,text51,https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2024/02/28/nomadi-digitali-fuori-dagli-stereotipi-tutto-sul-fenomeno-che-cambia_034dc501-5197-4848-bbd7-d236cf12c8c1.html
Nomadi digitali,text45,https://www.ilfattoquotidiano.it/2023/04/11/la-sfida-della-toscana-rilanciare-in-chiave-smart-economia-dei-territori-e-stili-di-vita/7120957/
Nomadi digitali,text17,https://www.ilfattoquotidiano.it/2021/05/04/pnrr-linnovazione-tecnologica-non-basta-bisogna-diffondere-una-cultura-digitale/6186304/
M5S,text88,https://www.corriere.it/economia/lavoro/22_aprile_13/smart-working-norma-attirare-stranieri-visto-lavorativo-un-anno-32e08a64-baf0-11ec-818b-cbb6b2b517fa.shtml
M5S,text47,https://www.ilsole24ore.com/art/lavoro-nomadi-digitali-norma-attirare-talenti-dall-estero-AEHtWhNB
M5S,text58,https://www.ansa.it/sito/notizie/economia/2022/04/29/nomadi-digitali-una-norma-per-lanciare-trend-in-italia_85da3e80-73fa-4b02-9d86-1104db723e2f.html
